Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Jameis Winston*\jameis-winston-1,Florida State,ACC,14,257,384,66.9,4057,10.6,11.5,40,10,184.8,88,219,2.5,4
2,Bryce Petty*\bryce-petty-1,Baylor,Big 12,13,250,403,62.0,4200,10.4,11.7,32,3,174.3,94,209,2.2,14
3,Zach Mettenberger*\zach-mettenberger-1,LSU,SEC,12,192,296,64.9,3082,10.4,10.7,22,8,171.4,34,-133,-3.9,0
4,Johnny Manziel*\johnny-manziel-1,Texas A&M,SEC,13,300,429,69.9,4114,9.6,10.0,37,13,172.9,144,759,5.3,9
5,Marcus Mariota*\marcus-mariota-1,Oregon,Pac-12,13,245,386,63.5,3665,9.5,10.6,31,4,167.7,96,715,7.4,9
6,Jake Waters*\jake-waters-1,Kansas State,Big 12,13,159,260,61.2,2469,9.5,9.3,18,9,156.8,118,312,2.6,6
7,Blake Bortles*\blake-bortles-1,UCF,American,13,259,382,67.8,3581,9.4,9.6,25,9,163.4,87,272,3.1,6
8,Matt Johnson*\matt-johnson-3,Bowling Green State,MAC,14,237,369,64.2,3467,9.4,9.9,25,7,161.7,117,238,2.0,5
9,Teddy Bridgewater*\teddy-bridgewater-1,Louisville,American,13,303,427,71.0,3970,9.3,10.3,31,4,171.1,63,78,1.2,1
10,Tajh Boyd*\tajh-boyd-1,Clemson,ACC,13,283,413,68.5,3851,9.3,9.8,34,11,168.7,154,400,2.6,10
11,A.J. McCarron*\aj-mccarron-1,Alabama,SEC,13,226,336,67.3,3063,9.1,9.8,28,7,167.2,34,-22,-0.6,0
12,Terrance Broadway*\terrance-broadway-1,Louisiana,Sun Belt,12,166,266,62.4,2419,9.1,8.5,19,12,153.3,131,442,3.4,8
13,Aaron Murray*\aaron-murray-1,Georgia,SEC,11,225,347,64.8,3075,8.9,9.2,26,9,158.8,53,186,3.5,7
14,Kevin Hogan*\kevin-hogan-2,Stanford,Pac-12,14,180,295,61.0,2630,8.9,8.7,20,10,151.5,84,355,4.2,2
15,Stephen Morris*\stephen-morris-1,Miami (FL),ACC,13,198,344,57.6,3028,8.8,8.5,21,12,144.7,28,-88,-3.1,0
16,David Fales\david-fales-1,San Jose State,MWC,12,312,487,64.1,4189,8.6,8.8,33,13,153.3,48,7,0.1,2
17,Devin Gardner*\devin-gardner-1,Michigan,Big Ten,12,208,345,60.3,2960,8.6,8.4,21,11,146.1,165,483,2.9,11
18,Connor Shaw*\connor-shaw-1,South Carolina,SEC,13,180,284,63.4,2447,8.6,10.1,24,1,162.9,154,558,3.6,6
19,Brendon Kay*\brendon-kay-1,Cincinnati,American,13,262,395,66.3,3302,8.4,8.1,22,12,148.9,72,137,1.9,6
20,Keith Price*\keith-price-1,Washington,Pac-12,12,233,352,66.2,2966,8.4,8.9,21,6,153.3,82,108,1.3,5
21,Keith Wenning*\keith-wenning-1,Ball State,MAC,13,319,498,64.1,4148,8.3,9.1,35,7,154.4,45,44,1.0,5
22,Brett Hundley*\brett-hundley-1,UCLA,Pac-12,13,248,371,66.8,3071,8.3,8.5,24,9,152.9,160,748,4.7,11
23,P.J. Walker\pj-walker-1,Temple,American,9,152,250,60.8,2084,8.3,8.5,20,8,150.8,90,332,3.7,3
24,Nick Marshall*\nick-marshall-2,Auburn,SEC,13,142,239,59.4,1976,8.3,8.3,14,6,143.2,172,1068,6.2,12
25,Cody Kessler*\cody-kessler-1,USC,Pac-12,14,236,361,65.4,2968,8.2,8.5,20,7,148.8,42,-124,-3.0,1
26,Braxton Miller*\braxton-miller-1,Ohio State,Big Ten,12,162,255,63.5,2094,8.2,8.9,24,7,158.1,171,1068,6.2,12
27,Ross Metheny\ross-metheny-1,South Alabama,Sun Belt,12,201,324,62.0,2622,8.1,8.0,15,7,141.0,132,604,4.6,10
28,Austyn Carta-Samuels*\austyn-carta-samuels-1,Vanderbilt,SEC,10,193,281,68.7,2268,8.1,7.4,11,9,143.0,75,115,1.5,5
29,C.J. Brown*\cj-brown-1,Maryland,ACC,11,166,282,58.9,2242,8.0,7.8,13,7,135.9,140,576,4.1,12
30,Tommy Rees*\tommy-rees-1,Notre Dame,Ind,13,224,414,54.1,3257,7.9,7.8,27,13,135.4,11,-56,-5.1,0
31,Sean Schroeder\sean-schroeder-1,Hawaii,MWC,11,233,376,62.0,2960,7.9,7.7,28,14,145.2,53,-51,-1.0,2
32,Rakeem Cato*\rakeem-cato-1,Marshall,CUSA,14,298,499,59.7,3916,7.8,8.6,39,9,147.8,99,294,3.0,6
33,Nate Sudfeld\nate-sudfeld-1,Indiana,Big Ten,12,194,322,60.2,2523,7.8,7.9,21,9,142.0,38,-34,-0.9,1
34,Marquise Williams*\marquise-williams-1,North Carolina,ACC,11,126,217,58.1,1698,7.8,8.0,15,6,141.1,111,536,4.8,6
35,Derek Carr*\derek-carr-1,Fresno State,MWC,13,454,659,68.9,5083,7.7,8.7,50,8,156.3,40,117,2.9,2
36,Sean Mannion*\sean-mannion-1,Oregon State,Pac-12,13,400,603,66.3,4662,7.7,7.8,37,15,146.6,34,-223,-6.6,0
37,Garrett Grayson*\garrett-grayson-1,Colorado State,MWC,14,297,478,62.1,3696,7.7,7.7,23,11,138.4,69,119,1.7,2
38,Bo Wallace*\bo-wallace-1,Ole Miss,SEC,13,283,437,64.8,3346,7.7,7.5,18,10,138.1,131,355,2.7,6
39,Quinn Kaehler*\quinn-kaehler-1,San Diego State,MWC,12,232,389,59.6,3007,7.7,7.7,19,9,136.1,49,-109,-2.2,1
40,Tyler Tettleton*\tyler-tettleton-1,Ohio,MAC,13,230,371,62.0,2851,7.7,7.4,21,12,138.8,43,24,0.6,0
41,Travis Wilson\travis-wilson-4,Utah,Pac-12,9,133,237,56.1,1827,7.7,6.0,16,16,129.6,81,386,4.8,5
42,Nathan Scheelhaase\nathan-scheelhaase-1,Illinois,Big Ten,12,287,430,66.7,3272,7.6,7.2,21,13,140.7,113,271,2.4,4
43,Corey Robinson\corey-robinson-1,Troy,Sun Belt,12,285,421,67.7,3219,7.6,7.6,20,9,143.3,35,-111,-3.2,1
44,Tom Savage*\tom-savage-1,Pitt,ACC,13,238,389,61.2,2958,7.6,7.6,21,9,138.2,76,-208,-2.7,3
45,Brandon Doughty\brandon-doughty-1,Western Kentucky,Sun Belt,12,246,374,65.8,2857,7.6,6.7,14,14,134.8,34,-109,-3.2,0
46,Chase Rettig*\chase-rettig-1,Boston College,ACC,13,162,263,61.6,1995,7.6,7.5,17,8,140.6,60,71,1.2,1
47,Shane Carden*\shane-carden-1,East Carolina,CUSA,13,387,549,70.5,4139,7.5,7.9,33,10,150.0,90,103,1.1,10
48,Taylor Kelly*\taylor-kelly-1,Arizona State,Pac-12,14,302,484,62.4,3635,7.5,7.6,28,12,139.6,173,608,3.5,9
49,Christian Hackenberg\christian-hackenberg-1,Penn State,Big Ten,12,231,392,58.9,2955,7.5,7.4,20,10,134.0,49,-68,-1.4,4
50,Davis Webb*\davis-webb-1,Texas Tech,Big 12,10,226,361,62.6,2718,7.5,7.5,20,9,139.1,25,-12,-0.5,0
51,Cody Fajardo\cody-fajardo-1,Nevada,MWC,10,243,358,67.9,2668,7.5,7.8,13,3,140.8,141,621,4.4,8
52,Adam Kennedy*\adam-kennedy-2,Arkansas State,Sun Belt,13,218,315,69.2,2363,7.5,7.3,11,6,139.9,153,524,3.4,4
53,Cooper Rush\cooper-rush-1,Central Michigan,MAC,11,177,312,56.7,2349,7.5,6.3,15,15,126.2,38,-84,-2.2,1
54,Clint Chelf*\clint-chelf-1,Oklahoma State,Big 12,12,164,291,56.4,2169,7.5,7.4,17,8,132.7,63,369,5.9,7
