Year,Name,College,POS,Height,Weight,Wonderlic,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone
2014,Blake Bortles,Central Florida,QB,77,232,28,4.93,,32.5,114,4.21,7.08
2014,Tajh Boyd,Clemson,QB,72.63,222,,4.84,,30.5,104,4.23,7.33
2014,Teddy Bridgewater,Louisville,QB,74.13,214,20,,,30,112,4.2,7.17
2014,Derek Carr,Frenso State (CA),QB,74.38,214,20,4.69,,34.5,110,4.2,
2014,David Fales,San Jose State,QB,73.63,212,,4.99,,28,102,4.5,7.55
2014,Jimmy Garoppolo,Eastern Illinois,QB,74.25,226,24,4.97,,30.5,110,4.26,7.04
2014,Garrett Gilbert,Southern Methodist (TX),QB,75.88,221,,,,,,,
2014,Jordan Lynch,Northern Illinois,QB,72.13,217,,4.76,,29.5,109,4.2,6.55
2014,Johnny Manziel,Texas A&M,QB,71.75,207,32,4.68,,31.5,112,4.03,6.75
2014,Jeff Mathews,Cornell (NY),QB,75.75,223,,5.26,,25.5,104,4.36,7.14
2014,A.J. McCarron,Alabama,QB,75.25,220,,4.94,,28,99,4.34,7.18
2014,Zach Mettenberger,Louisiana State,QB,76.88,224,,,,,,,
2014,Stephen Morris,Miami (FL),QB,73.88,213,,4.63,,30,111,4.49,7.36
2014,Aaron Murray,Georgia,QB,72.5,207,,,,,,,
2014,Bryn Renner,North Carolina,QB,75.25,228,,4.87,,25.5,108,4.3,7.22
2014,Tom Savage,Pittsburgh,QB,75.88,228,,4.97,,27,104,4.36,7.33
2014,Connor Shaw,South Carolina,QB,72.38,206,,4.66,,34,115,4.33,7.07
2014,Logan Thomas,Virginia Tech,QB,78.13,248,,4.61,,35.5,116,4.18,7.05
2014,Dustin Vaughan,West Texas A&M,QB,76.88,235,,4.95,,29,108,4.43,7.25
2014,Keith Wenning,Ball State (IN),QB,74.63,218,,5,,28,99,4.25,7.07
2015,Bryan Bennett,Southeastern Louisiana,QB,74.25,211,,4.81,,37,125,4.2,7.13
2015,Chris Bonner,Colorado State-Pueblo,QB,78.25,237,,5.12,,,,,
2015,Anthony Boone,Duke,QB,72.25,231,20,5.03,,26.5,100,4.62,7.47
2015,Brandon Bridge,South Alabama,QB,76.38,229,,4.72,,33,110,4.37,7.18
2015,Terrance Broadway,Louisiana-Lafayette,QB,72.63,223,,4.62,,,,,
2015,Shane Carden,East Carolina (NC),QB,73.88,218,25,4.94,,29.5,104,4.45,7.17
2015,Rakeem Cato,Marshall (WV),QB,72.13,171,,4.7,,,,,
2015,Quinn Epperly,Princeton,QB,73.75,218,,4.89,,,,,
2015,Cody Fajardo,Nevada,QB,73.5,223,31,4.63,,32.5,118,4.1,6.95
2015,Garrett Grayson,Colorado State,QB,74.5,213,20,4.84,,,,,
2015,Connor Halliday,Washington State,QB,75,196,31,4.87,,,,,
2015,Grant Hedrick,Boise State,QB,71.75,191,,4.76,,,,,
2015,Taylor Heinicke,Old Dominion (VA),QB,72.38,211,,4.76,,,,,
2015,Brett Hundley,UCLA,QB,75.25,226,26,4.63,,36,120,3.98,6.93
2015,Matt Joeckel,Texas Christian,QB,76,237,,4.95,,,,,
2015,Taylor Kelly,Arizona State,QB,73.5,198,,4.84,,,,,
2015,Jerry Lovelocke,Prairie View A&M,QB,76.5,248,,4.99,,31.5,113,4.51,7.3
2015,Andrew Manley,Eastern Illinois,QB,75,225,,4.9,,,,,
2015,Sean Mannion,Oregon State,QB,77.63,229,40,5.14,,31,105,4.39,7.29
2015,Marcus Mariota,Oregon,QB,75.75,222,,4.52,,36,121,4.11,6.87
2015,Hutson Mason,Georgia,QB,73.75,207,,4.79,,,,,
2015,Nick Montana,Tulane (LA),QB,73,207,,4.84,,,,,
2015,Tyler Murphy,Boston College,QB,73.5,210,,4.78,,,,,
2015,Mark Myers,John Carroll (OH),QB,76,220,,4.92,,,,,
2015,Gary Nova,Rutgers,QB,73.38,222,,4.63,,,,,
2015,Bryce Petty,Baylor,QB,74.88,230,31,4.87,,34,121,4.13,6.91
2015,Kevin Rodgers,Henderson State (AR),QB,74.75,201,,5.12,,,,,
2015,Garrett Safron,Sacramento State (CA),QB,72.88,200,,4.76,,,,,
2015,Jesse Scroggins,Arizona,QB,75,208,,4.79,,,,,
2015,Max Shortell,Jacksonville State (AL),QB,76.75,240,,5.04,,,,,
2015,Jameill Showers,Texas-El Paso,QB,73.75,231,,4.76,,,,,
2015,Trevor Siemian,Northwestern,QB,74.88,210,,4.94,,,,,
2015,Blake Sims,Alabama,QB,71.5,218,,4.57,,30.5,115,,
2015,Cole Stoudt,Clemson,QB,76.63,218,,4.86,,,,,
2015,Pete Thomas,Louisiana-Monroe,QB,77.25,232,,5.06,,,,,
2015,Dylan Thompson,South Carolina,QB,73.75,223,,4.83,,,,,
2015,Bo Wallace,Mississippi,QB,75.63,211,,5.08,,,,,
2015,Jake Waters,Kansas State,QB,72.88,204,,4.85,,,,,
2015,Ryan Williams,Miami (FL),QB,76.38,220,,5.06,19,40,123,4.18,6.96
2015,Jameis Winston,Florida State,QB,75.75,231,27,4.97,,28.5,103,4.36,7.16
2016,Vernon Adams,Oregon,QB,70.88,200,,4.83,,29.5,114,4.2,6.82
2016,Brandon Allen,Arkansas,QB,73.38,217,,4.84,,28,110,4.33,7.06
2016,Trevone Boykin,Texas Christian,QB,72,212,,4.77,,32,110,4.4,
2016,Jacoby Brissett,North Carolina State,QB,75.75,231,,4.94,,31,113,4.53,7.17
2016,Connor Cook,Michigan State,QB,76,217,,4.79,,33,113,4.28,7.21
2016,Brandon Doughty,Western Kentucky,QB,74.75,213,,5.22,,27,103,4.52,7.49
2016,Jeff Driskel,Louisiana Tech,QB,76,234,,4.56,,32,122,4.25,7.19
2016,Jared Goff,California,QB,76,215,36,4.82,,27,110,4.47,7.17
2016,Christian Hackenberg,Penn State,QB,76.38,223,,4.78,,31,114,4.33,7.04
2016,Kevin Hogan,Stanford,QB,75.25,218,,4.78,,32.5,113,4.31,6.9
2016,Cardale Jones,Ohio State,QB,77,253,,4.81,,36,,,
