Year,No.,Round,Pick,Player,Name,Team,College
2014,8,5,23,163,Aaron Murray,Chiefs,Georgia
2014,9,5,24,164,A.J. McCarron,Bengals,Alabama
2014,1,1,3,3,Blake Bortles,Jaguars,Central Florida
2017,9,6,32,215,Brad Kaaya,Lions,Miami (FL)
2016,13,6,26,201,Brandon Allen,Jaguars,Arkansas
2016,15,7,2,223,Brandon Doughty,Dolphins,Western Kentucky
2015,6,5,11,147,Brett Hundley,Packers,UCLA
2015,5,4,4,103,Bryce Petty,Jets,Baylor
2017,6,3,40,104,C.J. Beathard,49ers,Iowa
2016,9,4,41,139,Cardale Jones,Bills,Ohio State
2016,2,1,2,2,Carson Wentz,Eagles,North Dakota State
2017,10,7,35,253,Chad Kelly,Broncos,Mississippi
2016,4,2,20,51,Christian Hackenberg,Jets,Penn State
2016,6,3,31,93,Cody Kessler,Browns,USC
2016,7,4,2,100,Connor Cook,Raiders,Michigan State
2016,8,4,37,135,Dak Prescott,Cowboys,Mississippi State
2014,11,6,7,183,David Fales,Bears,San Jose State
2017,5,3,23,87,Davis Webb,Giants,California
2014,4,2,4,36,Derek Carr,Raiders,Fresno State
2017,3,1,12,12,Deshaun Watson,Texans,Clemson
2017,4,2,20,52,DeShone Kizer,Browns,Notre Dame
2014,14,6,38,214,Garrett Gilbert,Rams,Southern Methodist
2015,3,3,11,75,Garrett Grayson,Saints,Colorado State
2016,5,3,29,91,Jacoby Brissett,Patriots,North Carolina State
2016,12,6,16,191,Jake Rudock,Lions,Michigan
2015,1,1,1,1,Jameis Winston,Buccaneers,Florida State
2016,1,1,1,1,Jared Goff,Rams,California
2016,14,6,32,207,Jeff Driskel,49ers,Louisiana Tech
2014,5,2,30,62,Jimmy Garoppolo,Patriots,Eastern Illinois
2014,2,1,22,22,Johnny Manziel,Browns,Texas A&M
2017,7,4,29,135,Joshua Dobbs,Steelers,Tennessee
2014,12,6,18,194,Keith Wenning,Ravens,Ball State
2016,10,5,25,162,Kevin Hogan,Chiefs,Stanford
2014,6,4,20,120,Logan Thomas,Cardinals,Virginia Tech
2015,2,1,2,2,Marcus Mariota,Titans,Oregon
2017,1,1,2,2,Mitchell Trubisky,Bears,North Carolina
2016,11,6,12,187,Nate Sudfeld,Redskins,Indiana
2017,8,5,28,171,Nathan Peterman,Bills,Pittsburgh
2017,2,1,10,10,Patrick Mahomes,Chiefs,Texas Tech
2016,3,1,26,26,Paxton Lynch,Broncos,Memphis
2015,4,3,25,89,Sean Mannion,Rams,Oregon State
2014,13,6,37,213,Tajh Boyd,Jets,Clemson
2014,3,1,32,32,Teddy Bridgewater,Vikings,Louisville
2014,7,4,35,135,Tom Savage,Texans,Pittsburgh
2015,7,7,33,250,Trevor Siemian,Broncos,Northwestern
2014,10,6,2,178,Zach Mettenberger,Titans,Louisiana State
